circle_id,point_index,python_x_psi,matlab_x_psi,x_absolute_error_psi,x_relative_error,python_y_psi,matlab_y_psi,y_absolute_error_psi,y_relative_error
circle2,72,1422.5696330273577,1422.6,0.030366972642241308,2.1346107579250184e-05,377.8747871771291,377.87,0.004787177129117026,1.2668846770362892e-05
circle2,73,1410.745294221434,1410.7,0.04529422143400552,3.2107621346852994e-05,367.2958543287667,367.3,0.004145671233288795,1.1286880569803415e-05
circle2,74,1399.2625561468394,1399.3,0.03744385316053922,2.6758988894832575e-05,356.34708568943137,356.35,0.0029143105686557647,8.178225252296238e-06
circle2,75,1388.132980947465,1388.1,0.03298094746514835,2.3759777728656687e-05,345.03950574105596,345.04,0.0004942589440588563,1.4324685371517976e-06
circle2,76,1377.3677751621226,1377.4,0.03222483787749297,2.3395410104176688e-05,333.3845002581458,333.38,0.004500258145810676,1.3498884593588926e-05
circle2,77,1366.977778440511,1367.0,0.02222155948902582,1.625571286688063e-05,321.3938048432697,321.39,0.0038048432697337375,1.1838710817803099e-05
circle2,78,1356.973452628606,1357.0,0.026547371393917274,1.9563280319762176e-05,309.07949311030256,309.08,0.0005068896974194104,1.6399951385382762e-06
circle2,79,1347.3648712344707,1347.4,0.035128765529407247,2.607151961511596e-05,296.4539645273202,296.45,0.003964527320192701,1.3373342284340366e-05
circle2,80,1338.1617092850838,1338.2,0.03829071491622926,2.8613596559728935e-05,283.5299319313854,283.53,6.806861455288526e-05,2.400755283493291e-07
circle2,81,1329.3732335844093,1329.4,0.02676641559082782,2.0134207605557258e-05,270.32040872779874,270.32,0.00040872779874234766,1.5120146446520704e-06
circle2,82,1321.0082933825115,1321.0,0.008293382511510572,6.27810939554169e-06,256.83869578670317,256.84,0.001304213296805301,5.07792126150639e-06
circle2,83,1313.0753114651075,1313.1,0.024688534892447933,1.8801717228275023e-05,243.09836805023434,243.1,0.0016319497656525073,6.713080072614181e-06
circle2,84,1305.5822756725383,1305.6,0.017724327461564826,1.3575618460144628e-05,229.11326086370525,229.11,0.003260863705236261,1.4232742810162196e-05
circle2,85,1298.5367308566892,1298.5,0.03673085668924614,2.8287144158064028e-05,214.8974560445857,214.9,0.002543955414296306,1.183785674404982e-05
